Start Time,End Time,Transportation Mode
2008/08/15 07:47:00,2008/08/15 08:02:22,walk
2008/08/15 08:02:23,2008/08/15 08:18:23,bus
2008/08/15 08:18:24,2008/08/15 08:24:01,walk
2008/08/16 00:17:00,2008/08/16 00:27:20,bus
2008/08/16 00:27:21,2008/08/16 00:59:10,walk
2008/08/16 06:18:59,2008/08/16 06:20:57,bus
2008/08/16 06:20:58,2008/08/16 06:54:18,walk
2008/08/16 06:54:19,2008/08/16 07:09:44,bus
2008/08/16 07:09:45,2008/08/16 09:33:04,walk
2008/08/16 09:33:05,2008/08/16 09:56:54,bus
2008/08/16 11:57:36,2008/08/16 12:19:42,bus
2008/08/16 12:19:43,2008/08/16 12:31:18,bike
2008/08/16 12:31:19,2008/08/16 12:52:08,walk
2008/08/16 23:53:35,2008/08/17 00:00:33,walk
2008/08/17 00:00:34,2008/08/17 00:21:26,bus
2008/08/17 00:21:27,2008/08/17 00:58:27,walk
2008/08/17 06:20:06,2008/08/17 06:30:16,bus
2008/08/17 06:30:17,2008/08/17 07:57:00,walk
2008/08/17 07:57:01,2008/08/17 08:34:44,walk
2008/08/17 11:04:59,2008/08/17 11:25:39,bus
2008/08/17 11:25:40,2008/08/17 11:34:11,walk
2008/08/17 13:31:29,2008/08/17 13:40:17,bike
2008/08/18 00:02:35,2008/08/18 00:06:09,walk
2008/08/18 00:06:10,2008/08/18 00:32:57,bus
2008/08/18 10:33:59,2008/08/18 10:49:10,walk
2008/08/18 10:49:11,2008/08/18 11:19:23,bus
2008/08/18 11:19:24,2008/08/18 11:35:05,bike
2008/08/20 00:05:36,2008/08/20 00:23:54,bus
2008/08/20 06:13:36,2008/08/20 06:38:34,bus
2008/08/20 06:38:35,2008/08/20 07:51:08,walk
2008/08/20 07:51:09,2008/08/20 08:22:12,bus
2008/08/20 08:22:13,2008/08/20 08:27:50,walk
2008/08/20 10:47:18,2008/08/20 10:58:29,walk
2008/08/20 10:58:30,2008/08/20 11:24:17,bus
2008/08/20 11:24:18,2008/08/20 11:33:43,bike
2008/08/20 11:33:44,2008/08/20 12:37:49,walk
2008/08/21 10:55:52,2008/08/21 11:48:10,bus
2008/08/21 11:48:11,2008/08/21 12:04:46,bike
2008/08/23 11:54:29,2008/08/23 12:05:27,bike
2008/08/23 13:18:06,2008/08/23 13:28:32,bike
2008/08/23 13:28:33,2008/08/23 13:38:13,run
2008/08/23 13:38:14,2008/08/23 13:41:57,walk
2008/08/23 13:41:58,2008/08/23 13:55:50,bike
2008/08/24 00:17:14,2008/08/24 01:15:46,bus
2008/08/24 01:15:47,2008/08/24 01:31:06,walk
2008/08/24 02:14:52,2008/08/24 04:03:01,walk
2008/08/24 04:03:02,2008/08/24 04:53:15,bus
2008/08/24 04:53:16,2008/08/24 04:56:55,walk
2008/08/24 06:23:15,2008/08/24 06:34:19,walk
2008/08/24 06:34:20,2008/08/24 08:11:45,bus
2008/08/24 10:43:19,2008/08/24 10:56:41,bike
2008/08/24 12:02:03,2008/08/24 12:11:57,bike
2008/08/25 06:34:05,2008/08/25 06:38:49,bike
2008/08/25 08:40:09,2008/08/25 08:58:07,bike
2008/08/25 10:05:05,2008/08/25 10:27:53,walk
2008/08/25 11:48:13,2008/08/25 11:54:23,bike
2008/08/26 01:23:14,2008/08/26 01:42:40,bike
2008/08/26 10:17:30,2008/08/26 10:36:30,bike
2008/08/27 10:21:06,2008/08/27 10:50:00,bike
2008/08/28 00:48:21,2008/08/28 01:00:45,bike
2008/08/28 10:21:06,2008/08/28 10:34:40,bike
2008/08/29 00:47:05,2008/08/29 01:07:05,bike
2008/08/29 09:33:06,2008/08/29 09:50:26,bike
2008/08/29 10:13:52,2008/08/29 10:29:12,bus
2008/08/29 15:13:30,2008/08/29 15:59:40,walk
2008/08/30 15:12:34,2008/08/30 15:28:08,bike
2008/08/31 11:38:36,2008/08/31 12:04:54,bike
2008/08/31 16:15:10,2008/08/31 16:33:16,bike
