,Lat,Long,-,Alt,dayNo,Date,Time,datetime,Transportation Mode,x,y
0,39.985442,116.350495,0,159,39595.4827430556,2008-05-27,11:35:09,2008-05-27 11:35:09,-,1116.6102513152546,995.872315395955
1,39.985429,116.350664,0,153,39595.4827662037,2008-05-27,11:35:11,2008-05-27 11:35:11,-,1131.0069491535344,994.427156450609
2,39.985377,116.350868,0,150,39595.482789351896,2008-05-27,11:35:13,2008-05-27 11:35:13,-,1148.3852116323574,988.6465206447452
3,39.985362,116.351001,0,148,39595.4828125,2008-05-27,11:35:15,2008-05-27 11:35:15,-,1159.7151572655425,986.9790295402996
4,39.985336,116.351074,0,147,39595.4828356481,2008-05-27,11:35:17,2008-05-27 11:35:17,-,1165.9338492283212,984.0887116193816
5,39.9853,116.3511,0,146,39595.4828587963,2008-05-27,11:35:19,2008-05-27 11:35:19,-,1168.1487258205182,980.0867329459501
6,39.985268,116.35111299999998,0,145,39595.4828819444,2008-05-27,11:35:21,2008-05-27 11:35:21,-,1169.2561641133561,976.5294185546071
7,39.985248,116.351124,0,142,39595.4829050926,2008-05-27,11:35:23,2008-05-27 11:35:23,-,1170.193227287549,974.3060970541517
8,39.985238,116.351132,0,149,39595.4829282407,2008-05-27,11:35:25,2008-05-27 11:35:25,-,1170.8747277772768,973.194436302356
9,39.985239,116.351141,0,146,39595.4829513889,2008-05-27,11:35:27,2008-05-27 11:35:27,-,1171.6414158263215,973.3056023773812
10,39.985239,116.351184,0,142,39595.482974537,2008-05-27,11:35:29,2008-05-27 11:35:29,-,1175.3044809572002,973.3056023773812
11,39.985242,116.351234,0,137,39595.4829976852,2008-05-27,11:35:31,2008-05-27 11:35:31,-,1179.5638590140575,973.6391006030867
12,39.985241,116.351269,0,136,39595.4830208333,2008-05-27,11:35:33,2008-05-27 11:35:33,-,1182.5454236529356,973.5279345281001
13,39.985235,116.351316,0,132,39595.4830439815,2008-05-27,11:35:35,2008-05-27 11:35:35,-,1186.549239027363,972.8609380757896
14,39.985229,116.351344,0,133,39595.4830671296,2008-05-27,11:35:37,2008-05-27 11:35:37,-,1188.9344907401176,972.1939416230182
15,39.985257,116.351405,0,134,39595.4830902778,2008-05-27,11:35:39,2008-05-27 11:35:39,-,1194.1309319685874,975.3065917298849
16,39.98526,116.351446,0,139,39595.4831134259,2008-05-27,11:35:41,2008-05-27 11:35:41,-,1197.623621976093,975.6400899548986
17,39.985292,116.351506,0,145,39595.483136574105,2008-05-27,11:35:43,2008-05-27 11:35:43,-,1202.7348756450237,979.197404349521
18,39.98528,116.351547,0,143,39595.4831597222,2008-05-27,11:35:45,2008-05-27 11:35:45,-,1206.2275656502059,977.8634114536936
19,39.98529600000001,116.351595,0,143,39595.4831828704,2008-05-27,11:35:47,2008-05-27 11:35:47,-,1210.3165685856113,979.6420686488988
20,39.985308,116.351651,0,137,39595.4832060185,2008-05-27,11:35:49,2008-05-27 11:35:49,-,1215.087072008334,980.9760615415594
21,39.985314,116.351699,0,137,39595.4832291667,2008-05-27,11:35:51,2008-05-27 11:35:51,-,1219.1760749413818,981.6430579875515
22,39.985314,116.351748,0,134,39595.4832523148,2008-05-27,11:35:53,2008-05-27 11:35:53,-,1223.350265437972,981.6430579875515
23,39.985319,116.351785,0,132,39595.483275463,2008-05-27,11:35:55,2008-05-27 11:35:55,-,1226.5022051990943,982.1988883583878
24,39.985328,116.351814,0,134,39595.4832986111,2008-05-27,11:35:57,2008-05-27 11:35:57,-,1228.9726444728115,983.1993830273491
25,39.985323,116.35184,0,137,39595.4833217593,2008-05-27,11:35:59,2008-05-27 11:35:59,-,1231.1875210599485,982.643552655675
26,39.985307,116.351843,0,139,39595.4833449074,2008-05-27,11:36:01,2008-05-27 11:36:01,-,1231.4430837443285,980.8648954667111
27,39.98528,116.351851,0,139,39595.483368055604,2008-05-27,11:36:03,2008-05-27 11:36:03,-,1232.1245842338394,977.8634114536936
28,39.985244,116.351845,0,134,39595.4833912037,2008-05-27,11:36:05,2008-05-27 11:36:05,-,1231.6134588672483,973.8614327537285
29,39.985211,116.351863,0,130,39595.4834143519,2008-05-27,11:36:07,2008-05-27 11:36:07,-,1233.1468349670172,970.1929522640579
30,39.985187,116.351883,0,127,39595.4834375,2008-05-27,11:36:09,2008-05-27 11:36:09,-,1234.8505861896904,967.5249664449472
