,Lat,Long,-,Alt,dayNo,Date,Time,datetime,Transportation Mode,x,y
0,40.015385,116.410837,0,492,39682.369861111096,2008-08-22,08:52:36,2008-08-22 08:52:36,-,6256.997905649121,4324.512286293772
1,40.015344,116.410844,0,492,39682.3698842593,2008-08-22,08:52:38,2008-08-22 08:52:38,-,6257.594218526397,4319.954493032168
2,40.01532,116.410805,0,493,39682.3699074074,2008-08-22,08:52:40,2008-08-22 08:52:40,-,6254.271903913162,4317.286516479761
3,40.015294,116.410784,0,493,39682.3699305556,2008-08-22,08:52:42,2008-08-22 08:52:42,-,6252.48296527681,4314.396208538008
4,40.015272,116.410775,0,494,39682.3699537037,2008-08-22,08:52:44,2008-08-22 08:52:44,-,6251.716277288226,4311.95056335139
5,40.015279,116.410766,0,494,39682.3699768518,2008-08-22,08:52:46,2008-08-22 08:52:46,-,6250.949589299627,4312.728723184007
6,40.015262,116.41078799999998,0,494,39682.37,2008-08-22,08:52:48,2008-08-22 08:52:48,-,6252.823715492748,4310.838906445753
7,40.01527100000001,116.410798,0,495,39682.3700231481,2008-08-22,08:52:50,2008-08-22 08:52:50,-,6253.675591035831,4311.839397661874
8,40.015265,116.410809,0,495,39682.3700462963,2008-08-22,08:52:52,2008-08-22 08:52:52,-,6254.6126541312515,4311.172403517437
9,40.015255,116.410824,0,496,39682.3700694444,2008-08-22,08:52:54,2008-08-22 08:52:54,-,6255.890467444725,4310.060746610902
10,40.015251,116.410814,0,497,39682.370092592595,2008-08-22,08:52:56,2008-08-22 08:52:56,-,6255.038591901693,4309.616083847647
11,40.015228,116.410802,0,499,39682.3701157407,2008-08-22,08:52:58,2008-08-22 08:52:58,-,6254.0163412517595,4307.0592729574255
12,40.015187,116.410796,0,500,39682.3701388889,2008-08-22,08:53:00,2008-08-22 08:53:00,-,6253.505215926784,4302.5014796133355
13,40.015149,116.410789,0,501,39682.370162037005,2008-08-22,08:53:02,2008-08-22 08:53:02,-,6252.908903047274,4298.277183324555
14,40.015126,116.410774,0,502,39682.3701851852,2008-08-22,08:53:04,2008-08-22 08:53:04,-,6251.631089735864,4295.720372403563
