,Lat,Long,-,Alt,dayNo,Date,Time,datetime,Transportation Mode,x,y
0,39.975356,116.333808,0,61,39786.5070486111,2008-12-04,12:10:09,2008-12-04 12:10:09,walk,-304.91458478758574,-125.34934529554707
1,39.975347,116.333844,0,61,39786.5071064815,2008-12-04,12:10:14,2008-12-04 12:10:14,walk,-301.8478325785718,-126.34984111278095
2,39.975346,116.333878,0,61,39786.5071643519,2008-12-04,12:10:19,2008-12-04 12:10:19,walk,-298.95145549082446,-126.46100731452417
3,39.975347,116.333912,0,62,39786.5072222222,2008-12-04,12:10:24,2008-12-04 12:10:24,walk,-296.05507840523387,-126.34984111278095
4,39.975379,116.333974,0,63,39786.5072800926,2008-12-04,12:10:29,2008-12-04 12:10:29,walk,-290.77344959786285,-122.79252265527599
5,39.975431,116.334039,0,63,39786.507337963,2008-12-04,12:10:34,2008-12-04 12:10:34,walk,-285.2362581074501,-117.01188018945295
6,39.97547,116.334089,0,64,39786.5073958333,2008-12-04,12:10:39,2008-12-04 12:10:39,walk,-280.9768800385429,-112.67639836281624
7,39.975513,116.334179,0,65,39786.5074537037,2008-12-04,12:10:44,2008-12-04 12:10:44,walk,-273.3099995135876,-107.89625175641157
8,39.975534,116.33428899999998,0,65,39786.5075115741,2008-12-04,12:10:49,2008-12-04 12:10:49,walk,-263.93936776269686,-105.56176156105302
9,39.97553,116.334415,0,66,39786.5075694444,2008-12-04,12:10:54,2008-12-04 12:10:54,walk,-253.20573502406017,-106.00642636064259
10,39.975533,116.334518,0,67,39786.5076273148,2008-12-04,12:10:59,2008-12-04 12:10:59,walk,-244.4314162028921,-105.67292776181513
11,39.975524,116.334657,0,68,39786.5076851852,2008-12-04,12:11:04,2008-12-04 12:11:04,walk,-232.59034516804616,-106.67342355864338
12,39.975443,116.334647,0,69,39786.5077430556,2008-12-04,12:11:09,2008-12-04 12:11:09,walk,-233.44222078317583,-115.67788577961707
13,39.9754,116.334334,0,69,39786.5078009259,2008-12-04,12:11:14,2008-12-04 12:11:14,walk,-260.10592749798394,-120.4580324245785
14,39.975397,116.334182,0,70,39786.5078587963,2008-12-04,12:11:19,2008-12-04 12:11:19,walk,-273.05443682840973,-120.79153102851697
15,39.975393,116.333929,0,74,39786.5079166667,2008-12-04,12:11:24,2008-12-04 12:11:24,walk,-294.606889860267,-121.23619583441904
16,39.975363,116.333749,0,87,39786.507974537,2008-12-04,12:11:29,2008-12-04 12:11:29,walk,-309.9406509096935,-124.57118188168171
17,39.975319,116.333599,0,109,39786.5080324074,2008-12-04,12:11:34,2008-12-04 12:11:34,walk,-322.718785118031,-129.46249477350423
18,39.975349,116.333476,0,118,39786.5080902778,2008-12-04,12:11:39,2008-12-04 12:11:39,walk,-333.1968551683944,-126.12750870862583
19,39.975314,116.333375,0,126,39786.5081481481,2008-12-04,12:11:44,2008-12-04 12:11:44,walk,-341.8007988673046,-130.01832578626312
20,39.975297,116.333283,0,139,39786.5082060185,2008-12-04,12:11:49,2008-12-04 12:11:49,walk,-349.63805451498604,-131.90815122906878
21,39.975293,116.333187,0,145,39786.5082638889,2008-12-04,12:11:54,2008-12-04 12:11:54,walk,-357.8160604072714,-132.35281603938753
22,39.975329,116.333145,0,132,39786.5083217593,2008-12-04,12:11:59,2008-12-04 12:11:59,walk,-361.3939379841655,-128.35083275036143
23,39.975347,116.333064,0,133,39786.5083796296,2008-12-04,12:12:04,2008-12-04 12:12:04,walk,-368.29413045708435,-126.34984111278095
24,39.975325,116.33298,0,148,39786.5084375,2008-12-04,12:12:09,2008-12-04 12:12:09,walk,-375.44988561073353,-128.7954975597477
25,39.975324,116.33288600000002,0,160,39786.5084953704,2008-12-04,12:12:14,2008-12-04 12:12:14,walk,-383.45751637925844,-128.9066637617727
26,39.975333,116.332782,0,168,39786.508553240696,2008-12-04,12:12:19,2008-12-04 12:12:19,walk,-392.317022764791,-127.90616794188725
27,39.975333,116.33272,0,172,39786.5086111111,2008-12-04,12:12:24,2008-12-04 12:12:24,walk,-397.5986515691949,-127.90616794188725
28,39.975336,116.332636,0,173,39786.5086689815,2008-12-04,12:12:29,2008-12-04 12:12:29,walk,-404.7544067246604,-127.57266933548932
29,39.975318,116.33249,0,179,39786.508726851804,2008-12-04,12:12:34,2008-12-04 12:12:34,walk,-417.19179068425865,-129.5736609756061
30,39.975317,116.332408,0,191,39786.5087847222,2008-12-04,12:12:39,2008-12-04 12:12:39,walk,-424.17717071822904,-129.68482717913506
31,39.975316,116.33232,0,197,39786.5088425926,2008-12-04,12:12:44,2008-12-04 12:12:44,walk,-431.67367611800717,-129.79599338126255
32,39.975324,116.332226,0,202,39786.508900463,2008-12-04,12:12:49,2008-12-04 12:12:49,walk,-439.6813068857373,-128.9066637617727
33,39.975305,116.332187,0,198,39786.5089583333,2008-12-04,12:12:54,2008-12-04 12:12:54,walk,-443.00362177918026,-131.018821608339
34,39.97528300000001,116.332095,0,195,39786.5090162037,2008-12-04,12:12:59,2008-12-04 12:12:59,walk,-450.8408774255001,-133.46447806572746
35,39.975271,116.331996,0,197,39786.5090740741,2008-12-04,12:13:04,2008-12-04 12:13:04,walk,-459.27444600143843,-134.79847250227914
36,39.975278,116.331885,0,203,39786.509131944396,2008-12-04,12:13:09,2008-12-04 12:13:09,walk,-468.73026531112424,-134.0203090807921
37,39.97532,116.331832,0,197,39786.5091898148,2008-12-04,12:13:14,2008-12-04 12:13:14,walk,-473.24520606382083,-129.351328570708
38,39.97535300000001,116.331767,0,194,39786.5092476852,2008-12-04,12:13:19,2008-12-04 12:13:19,walk,-478.78239755251093,-125.68284389905499
39,39.97541,116.331716,0,193,39786.5093055556,2008-12-04,12:13:24,2008-12-04 12:13:24,walk,-483.1269631817206,-119.34637041181144
40,39.975621,116.331703,0,174,39786.509363425896,2008-12-04,12:13:29,2008-12-04 12:13:29,walk,-484.234401479441,-95.89030224490624
41,39.97567,116.331659,0,175,39786.5094212963,2008-12-04,12:13:34,2008-12-04 12:13:34,walk,-487.9826541788983,-90.44315853301913
42,39.975716,116.331612,0,174,39786.5094791667,2008-12-04,12:13:39,2008-12-04 12:13:39,walk,-491.9864695634112,-85.32951344498181
43,39.975749,116.331562,0,175,39786.509537037,2008-12-04,12:13:44,2008-12-04 12:13:44,walk,-496.2458476308055,-81.66102894143143
44,39.975773,116.331556,0,175,39786.5095949074,2008-12-04,12:13:49,2008-12-04 12:13:49,walk,-496.7569729988035,-78.9930402213669
45,39.975801,116.331552,0,177,39786.5096527778,2008-12-04,12:13:54,2008-12-04 12:13:54,walk,-497.09772324558026,-75.88038672277179
46,39.975914,116.331539,0,178,39786.5097106481,2008-12-04,12:13:59,2008-12-04 12:13:59,walk,-498.2051615411001,-63.31860663504564
47,39.97602,116.3316,0,181,39786.5097685185,2008-12-04,12:14:04,2008-12-04 12:14:04,walk,-493.008720299416,-51.53499006450476
48,39.976058,116.331604,0,185,39786.5098263889,2008-12-04,12:14:09,2008-12-04 12:14:09,walk,-492.6679700548039,-47.31067472474008
49,39.976081,116.331626,0,187,39786.5098842593,2008-12-04,12:14:14,2008-12-04 12:14:14,walk,-490.7938437040138,-44.753852291999856
50,39.976091,116.331671,0,191,39786.509942129596,2008-12-04,12:14:19,2008-12-04 12:14:19,walk,-486.9604034428826,-43.64219036717328
51,39.976093,116.33173899999998,0,196,39786.51,2008-12-04,12:14:24,2008-12-04 12:14:24,walk,-481.16764927136325,-43.41985798207883
52,39.976069,116.331801,0,201,39786.5100578704,2008-12-04,12:14:29,2008-12-04 12:14:29,walk,-475.88602046562687,-46.08784660376546
53,39.976038,116.331861,0,206,39786.5101157407,2008-12-04,12:14:34,2008-12-04 12:14:34,walk,-470.7747667853982,-49.53399858554282
54,39.975993,116.331925,0,212,39786.510173611096,2008-12-04,12:14:39,2008-12-04 12:14:39,walk,-465.3227628583172,-54.53647729037594
55,39.97595,116.331977,0,217,39786.5102314815,2008-12-04,12:14:44,2008-12-04 12:14:44,walk,-460.89300966724886,-59.316623633097684
56,39.97595,116.332017,0,222,39786.510289351805,2008-12-04,12:14:49,2008-12-04 12:14:49,walk,-457.48550721222074,-59.316623633097684
57,39.97596400000001,116.332054,0,227,39786.5103472222,2008-12-04,12:14:54,2008-12-04 12:14:54,walk,-454.33356744227456,-57.760296912519166
58,39.975962,116.332072,0,233,39786.510405092595,2008-12-04,12:14:59,2008-12-04 12:14:59,walk,-452.8001913381451,-57.982629302332796
59,39.975954,116.332101,0,238,39786.510462963,2008-12-04,12:15:04,2008-12-04 12:15:04,walk,-450.32975205745396,-58.871958855735386
60,39.975947,116.332147,0,243,39786.5105208333,2008-12-04,12:15:09,2008-12-04 12:15:09,walk,-446.4111242343051,-59.65012221590035
61,39.975924,116.332155,0,249,39786.5105787037,2008-12-04,12:15:14,2008-12-04 12:15:14,walk,-445.72962374284833,-62.20694468811985
62,39.975949,116.33215,0,254,39786.5106365741,2008-12-04,12:15:19,2008-12-04 12:15:19,walk,-446.1555615513636,-59.42778982711671
63,39.975973,116.332164,0,259,39786.5106944444,2008-12-04,12:15:24,2008-12-04 12:15:24,walk,-444.9629356918552,-56.75980116712407
64,39.975994,116.33213,0,264,39786.510752314796,2008-12-04,12:15:29,2008-12-04 12:15:29,walk,-447.85931277675087,-54.425311096920545
65,39.976008,116.33212,0,269,39786.5108101852,2008-12-04,12:15:34,2008-12-04 12:15:34,walk,-448.7111883916098,-52.86898438635416
66,39.976018,116.332143,0,274,39786.5108680556,2008-12-04,12:15:39,2008-12-04 12:15:39,walk,-446.75187447894916,-51.75732245076228
67,39.976025,116.332121,0,279,39786.5109259259,2008-12-04,12:15:44,2008-12-04 12:15:44,walk,-448.6260008299072,-50.979159097670845
68,39.976077,116.332034,0,280,39786.510983796295,2008-12-04,12:15:49,2008-12-04 12:15:49,walk,-456.0373186698022,-45.19851706285487
69,39.976075,116.332034,0,282,39786.5110416667,2008-12-04,12:15:54,2008-12-04 12:15:54,walk,-456.0373186698022,-45.42084944765209
70,39.976075,116.332034,0,282,39786.5110763889,2008-12-04,12:15:57,2008-12-04 12:15:57,walk,-456.0373186698022,-45.42084944765209
71,39.976079,116.332031,0,283,39786.511099537005,2008-12-04,12:15:59,2008-12-04 12:15:59,walk,-456.2928813527387,-44.97618467740173
72,39.976095,116.331938,0,282,39786.5111574074,2008-12-04,12:16:04,2008-12-04 12:16:04,walk,-464.21532456055377,-43.197525597035614
