Start Time,End Time,Transportation Mode
2008/07/22 07:19:54,2008/07/22 07:43:02,taxi
2008/07/22 07:50:32,2008/07/22 08:54:40,bus
2008/07/22 08:54:42,2008/07/22 09:10:56,walk
2008/07/22 10:07:43,2008/07/22 10:17:51,walk
2008/07/22 10:22:13,2008/07/22 11:22:23,bus
2008/07/22 11:22:25,2008/07/22 11:28:37,walk
2008/08/21 00:08:16,2008/08/21 00:16:58,walk
2008/08/21 00:17:00,2008/08/21 01:03:59,subway
2008/08/21 01:04:01,2008/08/21 01:17:16,taxi
2008/08/22 06:45:30,2008/08/22 07:58:52,bus
2008/08/24 00:12:30,2008/08/24 00:21:04,walk
2008/08/24 00:21:06,2008/08/24 01:12:54,bus
2008/08/24 01:12:56,2008/08/24 01:30:22,walk
2008/08/24 01:30:24,2008/08/24 02:00:28,bus
2008/08/24 02:00:30,2008/08/24 02:55:12,walk
2008/08/24 02:55:14,2008/08/24 04:04:06,bus
2008/08/24 04:04:08,2008/08/24 05:44:50,walk
2008/08/24 05:44:52,2008/08/24 06:55:56,bus
2008/08/24 06:55:58,2008/08/24 08:10:51,walk
2008/08/24 23:25:53,2008/08/25 00:28:08,bus
2008/08/25 00:28:10,2008/08/25 00:37:04,walk
2008/08/25 10:00:59,2008/08/25 10:11:17,walk
2008/08/25 10:11:19,2008/08/25 11:08:37,bus
2008/08/25 13:58:59,2008/08/25 15:04:39,walk
2008/08/26 00:47:59,2008/08/26 00:59:02,walk
2008/08/26 00:59:04,2008/08/26 01:50:50,bus
2008/08/26 01:50:52,2008/08/26 02:34:02,walk
2008/08/28 02:29:06,2008/08/28 04:43:02,car
2008/08/28 04:43:04,2008/08/28 06:32:16,walk
2008/08/28 06:32:18,2008/08/28 07:28:40,taxi
2008/08/28 07:28:42,2008/08/28 09:44:34,walk
2008/08/31 08:44:54,2008/08/31 09:18:40,bus
2008/08/31 09:18:42,2008/08/31 09:42:37,walk
2008/09/01 00:06:05,2008/09/01 00:57:15,bus
2008/09/01 00:57:17,2008/09/01 01:19:56,walk
2008/09/01 01:19:58,2008/09/01 01:50:37,bus
2008/09/01 01:50:39,2008/09/01 02:20:10,walk
2008/09/01 02:37:54,2008/09/01 12:40:00,walk
2008/09/01 03:36:31,2008/09/01 04:00:09,train
2008/09/01 04:00:11,2008/09/01 04:21:41,walk
2008/09/01 04:21:43,2008/09/01 04:39:31,taxi
2008/09/01 04:39:33,2008/09/01 05:16:05,walk
2008/09/01 05:16:07,2008/09/01 05:22:40,taxi
2008/09/01 05:22:42,2008/09/01 06:16:16,walk
2008/09/01 06:16:18,2008/09/01 06:28:00,taxi
2008/09/01 06:28:02,2008/09/01 06:50:21,walk
2008/09/01 08:18:49,2008/09/01 08:51:36,walk
2008/09/01 08:51:38,2008/09/01 09:06:00,taxi
2008/09/01 09:06:02,2008/09/01 09:45:25,walk
2008/09/01 09:45:27,2008/09/01 10:14:55,train
2008/09/01 10:14:57,2008/09/01 10:22:24,walk
2008/09/01 10:22:26,2008/09/01 11:37:52,bus
2008/09/01 23:29:23,2008/09/01 23:41:35,bus
2008/09/08 22:34:54,2008/09/08 23:30:16,bus
2008/09/08 23:30:18,2008/09/08 23:50:01,walk
2008/09/08 23:50:03,2008/09/09 00:18:07,subway
2008/09/09 00:18:09,2008/09/09 01:47:43,walk
2008/09/09 01:47:45,2008/09/09 02:19:00,subway
2008/09/09 02:19:02,2008/09/09 02:23:06,walk
2008/09/10 13:31:05,2008/09/10 13:34:43,walk
2008/09/10 13:34:45,2008/09/10 14:26:19,bus
2008/09/10 23:27:54,2008/09/11 00:22:32,bus
2008/09/11 00:22:34,2008/09/11 00:30:14,walk
2008/09/12 09:56:30,2008/09/12 10:35:36,bus
2008/09/12 10:35:38,2008/09/12 11:07:56,walk
2008/09/12 11:07:58,2008/09/12 11:25:56,bus
2008/09/12 11:25:58,2008/09/12 11:41:46,walk
2008/09/13 03:44:00,2008/09/13 03:53:04,walk
2008/09/13 05:43:30,2008/09/13 06:14:56,walk
2008/09/13 06:14:58,2008/09/13 06:21:12,taxi
2008/09/13 06:21:14,2008/09/13 06:56:52,walk
2008/09/13 06:56:54,2008/09/13 07:18:57,bus
2008/09/13 07:18:59,2008/09/13 08:47:21,walk
2008/09/13 08:47:23,2008/09/13 09:51:37,boat
2008/09/13 09:51:39,2008/09/13 10:42:09,walk
2008/09/13 10:42:11,2008/09/13 11:12:04,bus
2008/09/13 11:12:06,2008/09/13 12:13:01,walk
2008/09/14 00:50:29,2008/09/14 03:54:43,car
2008/09/14 03:54:45,2008/09/14 07:56:05,walk
2008/09/14 07:56:07,2008/09/14 10:56:39,car
2008/09/14 10:56:41,2008/09/14 12:53:46,walk
2008/09/14 12:53:48,2008/09/14 13:04:18,run
2008/09/15 12:11:24,2008/09/15 12:20:16,walk
2008/09/15 23:43:29,2008/09/16 00:44:08,bus
2008/09/16 00:44:10,2008/09/16 00:58:30,walk
2008/09/16 09:36:12,2008/09/16 10:43:12,bus
2008/09/16 10:43:14,2008/09/16 13:14:22,walk
2008/09/17 13:06:06,2008/09/17 13:37:44,bus
2008/09/17 13:37:46,2008/09/17 13:47:06,walk
2008/09/17 13:47:08,2008/09/17 14:03:24,bus
2008/09/17 14:03:26,2008/09/17 14:13:52,walk
2008/09/17 22:52:06,2008/09/17 23:35:29,bus
2008/09/17 23:35:31,2008/09/17 23:44:58,walk
2008/09/18 01:01:23,2008/09/18 01:23:43,walk
2008/09/18 10:34:06,2008/09/18 10:39:40,bus
2008/09/18 10:39:42,2008/09/18 10:54:48,walk
2008/09/18 10:54:50,2008/09/18 11:52:14,bus
2008/09/18 11:52:16,2008/09/18 14:49:02,walk
2008/09/18 23:54:05,2008/09/19 00:07:01,walk
2008/09/19 00:07:03,2008/09/19 00:32:52,subway
2008/09/19 00:32:54,2008/09/19 01:00:15,walk
2008/09/19 02:55:36,2008/09/19 03:01:02,walk
2008/09/19 03:01:04,2008/09/19 03:33:54,subway
2008/09/19 03:33:56,2008/09/19 03:44:06,walk
2008/09/19 06:38:55,2008/09/19 08:15:09,walk
2008/09/19 09:25:42,2008/09/19 09:31:36,walk
2008/09/19 09:31:38,2008/09/19 10:30:56,bus
2008/09/19 10:30:58,2008/09/19 12:03:46,walk
2008/09/19 23:45:30,2008/09/20 00:41:28,bus
2008/09/20 00:41:30,2008/09/20 00:56:35,walk
2008/09/20 07:48:29,2008/09/20 08:36:38,bus
2008/09/20 08:36:40,2008/09/20 09:35:34,walk
2008/09/21 23:35:42,2008/09/22 01:05:02,bus
2008/09/22 01:05:04,2008/09/22 01:48:17,walk
2008/09/22 01:48:19,2008/09/22 02:20:30,subway
2008/09/22 02:20:32,2008/09/22 03:25:00,walk
2008/09/22 03:25:02,2008/09/22 04:02:12,subway
2008/09/22 04:02:14,2008/09/22 04:04:06,walk
2008/09/22 10:01:36,2008/09/22 11:08:54,bus
2008/09/22 11:08:56,2008/09/22 12:10:04,walk
2008/09/22 23:31:54,2008/09/22 23:36:32,walk
2008/09/22 23:36:34,2008/09/23 00:19:00,subway
2008/09/23 00:19:02,2008/09/23 00:25:28,walk
2008/09/23 07:39:30,2008/09/23 07:56:58,walk
2008/09/23 10:45:53,2008/09/23 10:51:09,walk
2008/09/23 10:51:11,2008/09/23 11:56:47,bus
2008/09/23 11:56:49,2008/09/23 13:39:37,walk
2008/09/24 00:28:07,2008/09/24 00:34:31,walk
2008/09/24 11:16:34,2008/09/24 11:24:19,subway
2008/09/24 11:24:21,2008/09/24 13:10:11,walk
2008/09/24 23:45:53,2008/09/25 00:53:45,bus
2008/09/25 00:53:47,2008/09/25 01:49:03,walk
