,Lat,Long,Alt,dayNo,x,y,datetime
0,39.960618,116.104255,310,39923.9322453704,-19859.96921246525,-1763.7182198431547,2009-04-20 22:22:26
1,39.960607,116.10425,325,39923.9323032407,-19860.39514991009,-1764.941050140398,2009-04-20 22:22:31
2,39.960463,116.104515,317,39923.9346180556,-19837.82046540108,-1780.9490105492664,2009-04-20 22:25:51
3,39.960274,116.104658,316,39923.9346759259,-19825.638654496623,-1801.959458988812,2009-04-20 22:25:56
4,39.96012,116.105031,317,39923.9347337963,-19793.86372109763,-1819.0790839803408,2009-04-20 22:26:01
5,39.9598,116.105368,314,39923.934791666696,-19765.15553723164,-1854.652331689835,2009-04-20 22:26:06
6,39.959676,116.105881,312,39923.934849537,-19721.45435512664,-1868.4369655289304,2009-04-20 22:26:11
7,39.959602,116.106146,306,39923.934907407405,-19698.879670348888,-1876.6632793658325,2009-04-20 22:26:16
8,39.959412,116.106341,298,39923.9349652778,-19682.26810982608,-1897.784896296092,2009-04-20 22:26:21
9,39.959192,116.106833,292,39923.9350231481,-19640.35586470537,-1922.2415059497766,2009-04-20 22:26:26
10,39.958984,116.107425,286,39923.9350810185,-19589.924870379517,-1945.3641192830155,2009-04-20 22:26:31
11,39.958825,116.10803500000002,279,39923.9351388889,-19537.960500998703,-1963.039578888363,2009-04-20 22:26:36
12,39.958625,116.108781,271,39923.9351967593,-19474.410632562383,-1985.272861870085,2009-04-20 22:26:41
13,39.95842,116.109558,265,39923.9352546296,-19408.219951537005,-2008.0619774566767,2009-04-20 22:26:46
14,39.958236,116.110287,259,39923.9353125,-19346.11826977559,-2028.516598736184,2009-04-20 22:26:51
15,39.958009,116.111004,255,39923.935370370404,-19285.038837606324,-2053.7513766711886,2009-04-20 22:26:56
16,39.957893,116.111592,248,39923.9354282407,-19234.948591745662,-2066.6466819511406,2009-04-20 22:27:01
17,39.957832,116.112205,239,39923.9354861111,-19182.728658336466,-2073.427833933562,2009-04-20 22:27:06
18,39.957638,116.113028,237,39923.9355439815,-19112.61935097345,-2094.994120885115,2009-04-20 22:27:11
19,39.95751,116.113724,231,39923.9356018519,-19053.328854999545,-2109.223423881268,2009-04-20 22:27:16
