,Lat,Long,Alt,dayNo,x,y,datetime
0,39.893722,116.45699,895,39976.4771412037,10188.658840346945,-9200.333741094715,2009-06-12 11:27:05
1,39.893408,116.457457,1125,39976.4771990741,10228.441422544003,-9235.240257335385,2009-06-12 11:27:10
2,39.893269,116.458054,1160,39976.477256944396,10279.29838511995,-9250.692505373387,2009-06-12 11:27:15
3,39.894154,116.45618600000002,531,39976.4773148148,10120.16805627689,-9152.309491512757,2009-06-12 11:27:20
4,39.894725,116.45533600000002,211,39976.4773726852,10047.758645031345,-9088.83299862454,2009-06-12 11:27:25
5,39.893697,116.456958,639,39976.4774305556,10185.932838997005,-9203.112922277553,2009-06-12 11:27:30
6,39.896239,116.453151,-549,39976.4777777778,9861.623863314964,-8920.525820520252,2009-06-12 11:28:00
7,39.894666,116.456417,758,39976.4778356481,10139.84637858506,-9095.391865471982,2009-06-12 11:28:05
8,39.893773,116.457528,963,39976.4778935185,10234.48973803238,-9194.664211506082,2009-06-12 11:28:10
9,39.895247,116.455219,270,39976.4779513889,10037.79170252398,-9030.803704049142,2009-06-12 11:28:15
10,39.894702,116.455964,405,39976.4780092593,10101.256421831486,-9091.389845016989,2009-06-12 11:28:20
11,39.895161,116.455194,119,39976.4780671296,10035.662013951634,-9040.364085673771,2009-06-12 11:28:25
12,39.895031,116.455634,332,39976.478125,10073.1445327631,-9054.815825519048,2009-06-12 11:28:30
13,39.894899,116.455725,429,39976.4781828704,10080.89659914615,-9069.48990004499,2009-06-12 11:28:35
14,39.895188,116.455487,302,39976.4782407407,10060.62196398578,-9037.362570502388,2009-06-12 11:28:40
15,39.893464,116.45851299999998,1287,39976.4782986111,10318.39946682009,-9229.014891289207,2009-06-12 11:28:45
16,39.895431,116.45583700000002,436,39976.4790509259,10090.437603922186,-9010.348934377718,2009-06-12 11:29:50
17,39.897097,116.452912,-600,39976.4791087963,9841.264040421069,-8825.144354804723,2009-06-12 11:29:55
18,39.896138,116.454402,-126,39976.4791666667,9968.193479940706,-8931.753709295353,2009-06-12 11:30:00
19,39.895397,116.455483,240,39976.479224537004,10060.281213815682,-9014.128620045856,2009-06-12 11:30:05
