,Lat,Long,Alt,dayNo,x,y,datetime
0,40.069938,116.41895900000002,491,39938.984375,6948.891213970405,10388.915048799188,2009-05-05 23:37:30
1,40.069889,116.418999,490,39938.9844328704,6952.298716068286,10383.467964284044,2009-05-05 23:37:35
2,40.0699,116.419069,489,39938.984490740695,6958.261844741448,10384.690779177688,2009-05-05 23:37:40
3,40.069867,116.419117,488,39938.9845486111,6962.350847258575,10381.022334491388,2009-05-05 23:37:45
4,40.069848,116.419141,488,39938.9846064815,6964.395348519118,10378.91019966601,2009-05-05 23:37:50
5,40.069913,116.419185,490,39938.9846643518,6968.143600828703,10386.135924050192,2009-05-05 23:37:55
6,40.069942,116.419176,492,39938.9847222222,6967.376912855829,10389.359708757858,2009-05-05 23:38:00
7,40.069968,116.419182,495,39938.9847800926,6967.888038170357,10392.249998485991,2009-05-05 23:38:05
8,40.070005,116.419186,497,39938.984837963,6968.2287883814815,10396.363103085709,2009-05-05 23:38:10
9,40.070035,116.419189,499,39938.9848958333,6968.484351035489,10399.69805274744,2009-05-05 23:38:15
10,40.070061,116.419176,501,39938.9849537037,6967.376912855829,10402.588342444571,2009-05-05 23:38:20
11,40.070131,116.419175,503,39938.9850115741,6967.291725303045,10410.369891588032,2009-05-05 23:38:25
12,40.070367,116.419132,505,39938.985069444396,6963.628660548326,10436.60482823588,2009-05-05 23:38:30
13,40.0705,116.419136,508,39938.9851273148,6963.969410757329,10451.389771033431,2009-05-05 23:38:35
14,40.070602,116.419112,510,39938.9851851852,6961.9249094989245,10462.728599189346,2009-05-05 23:38:40
15,40.070692,116.419115,515,39938.9852430556,6962.1804721551525,10472.733447451768,2009-05-05 23:38:45
16,40.070554,116.419169,514,39938.985300925895,6966.780599988507,10457.392680073684,2009-05-05 23:38:50
17,40.070443,116.419201,515,39938.9853587963,6969.50660166667,10445.053367004604,2009-05-05 23:38:55
18,40.070517,116.419189,514,39938.9854166667,6968.484351035489,10453.279575734405,2009-05-05 23:39:00
19,40.070521,116.419198,514,39938.985474537,6969.251039008337,10453.724235664087,2009-05-05 23:39:05
20,40.07056,116.419187,514,39938.9855324074,6968.313975932095,10458.05966996458,2009-05-05 23:39:10
21,40.070617,116.419194,514,39938.9855902778,6968.910288799389,10464.39607390649,2009-05-05 23:39:15
22,40.070715,116.419192,515,39938.9856481481,6968.739913693828,10475.290241990573,2009-05-05 23:39:20
23,40.070818,116.419172,515,39938.9857060185,6967.036162644695,10486.74023484497,2009-05-05 23:39:25
24,40.070939,116.419149,515,39938.9857638889,6965.0768489392685,10500.191197149954,2009-05-05 23:39:30
25,40.071044,116.419127,516,39938.9858217593,6963.202722784359,10511.863519658527,2009-05-05 23:39:35
26,40.071044,116.419127,516,39938.9858564815,6963.202722784359,10511.863519658527,2009-05-05 23:39:38
27,40.071049,116.419135,517,39938.9858796296,6963.884223206703,10512.419344536464,2009-05-05 23:39:40
28,40.071005,116.419165,518,39938.9859375,6966.439849777367,10507.528085600054,2009-05-05 23:39:45
29,40.071032,116.419177,518,39938.9859953704,6967.462100408609,10510.529539950741,2009-05-05 23:39:50
30,40.071075,116.419166,518,39938.9860532407,6966.525037330152,10515.309633896284,2009-05-05 23:39:55
31,40.072407,116.418972,121,39938.9861111111,6949.9986521506835,10663.381369497336,2009-05-05 23:40:00
32,40.07248,116.418953,127,39938.9861689815,6948.380088653416,10671.496411406106,2009-05-05 23:40:05
33,40.072525,116.418934,131,39938.986226851805,6946.761525158238,10676.498834466764,2009-05-05 23:40:10
34,40.072536,116.418933,131,39938.9862847222,6946.676337605403,10677.72164898935,2009-05-05 23:40:15
35,40.072521,116.418923,127,39938.986342592594,6945.824462079196,10676.054174640563,2009-05-05 23:40:20
36,40.07243,116.41884,127,39938.986400463,6938.753895221021,10665.9381635304,2009-05-05 23:40:25
37,40.072337,116.418744,126,39938.9864583333,6930.575890176117,10655.599822396573,2009-05-05 23:40:30
38,40.072173,116.418642,130,39938.9865162037,6921.886759816148,10637.368768943941,2009-05-05 23:40:35
