,Lat,Long,Alt,dayNo,x,y,datetime
0,39.979736,116.364065,864,39864.455601851805,2272.605452085706,361.55849610493937,2009-02-20 10:56:04
1,39.98027800000001,116.363912,460,39864.4556597222,2259.571755336506,421.8105452386016,2009-02-20 10:56:09
2,39.980715,116.363803,281,39864.455717592595,2250.2863112459795,470.3901466878135,2009-02-20 10:56:14
3,39.981176,116.363515,256,39864.455775463,2225.7522938264547,521.6377327503532,2009-02-20 10:56:19
4,39.981402,116.363408,239,39864.4558333333,2216.6372248545504,546.7612772013495,2009-02-20 10:56:24
5,39.981474,116.363262,219,39864.4558912037,2204.199841022016,554.7652381276733,2009-02-20 10:56:29
6,39.981497,116.36322,189,39864.4559490741,2200.6219634795398,557.3220589647008,2009-02-20 10:56:34
7,39.981699,116.363083,42,39864.4560069444,2188.951267690641,579.7776155948526,2009-02-20 10:56:39
8,39.981975,116.363075,-14,39864.456064814796,2188.269767203794,610.4594644020559,2009-02-20 10:56:44
9,39.982155,116.363267,73,39864.4561226852,2204.6257788240646,630.4693652724437,2009-02-20 10:56:49
10,39.982402,116.363236,89,39864.4561805556,2201.984964448736,657.9273952361906,2009-02-20 10:56:54
11,39.982593,116.363233,56,39864.4562384259,2201.7294017661998,679.1601223236448,2009-02-20 10:56:59
12,39.982559,116.363215,66,39864.456296296295,2200.196025677475,675.380474604626,2009-02-20 10:57:04
13,39.982578,116.363222,64,39864.4563541667,2200.792338601232,677.4926306849347,2009-02-20 10:57:09
14,39.982578,116.363222,64,39864.4563888889,2200.792338601232,677.4926306849347,2009-02-20 10:57:12
15,39.982586,116.363218,64,39864.456412037005,2200.4515883578474,678.3819595588009,2009-02-20 10:57:14
16,39.982709,116.363216,96,39864.4564699074,2200.281213238322,692.055390902775,2009-02-20 10:57:19
17,39.983064,116.363173,85,39864.456527777795,2196.61814813703,731.5193583277999,2009-02-20 10:57:24
18,39.983445,116.363189,91,39864.4565856481,2197.981149104111,773.8736426985151,2009-02-20 10:57:29
19,39.983931,116.363198,56,39864.4566435185,2198.7478371474085,827.9003649435093,2009-02-20 10:57:34
20,39.984409,116.363227,63,39864.4567013889,2201.218276403294,881.0377554764708,2009-02-20 10:57:39
21,39.984882,116.363251,76,39864.4567592593,2203.2627778570704,933.6193126831835,2009-02-20 10:57:44
22,39.98511,116.363308,81,39864.4568171296,2208.118468805563,958.9651785587304,2009-02-20 10:57:49
23,39.985183,116.363321,85,39864.456875,2209.2259070899768,967.0803021406911,2009-02-20 10:57:54
24,39.98518,116.363334,92,39864.4569328704,2210.333345378714,966.7468039127177,2009-02-20 10:57:59
25,39.985179,116.363334,93,39864.4569907407,2210.333345378714,966.6356378362298,2009-02-20 10:58:04
26,39.985184,116.36333,93,39864.4570486111,2209.9925951353603,967.1914682171276,2009-02-20 10:58:09
27,39.985184,116.36333,93,39864.4570833333,2209.9925951353603,967.1914682171276,2009-02-20 10:58:12
28,39.985191,116.363327,93,39864.457106481495,2209.737032452844,967.969630748291,2009-02-20 10:58:14
29,39.985204,116.363319,93,39864.4571643519,2209.0555319682985,969.414789733981,2009-02-20 10:58:19
30,39.985215,116.36333799999998,93,39864.457222222205,2210.674095617732,970.6376165668793,2009-02-20 10:58:24
31,39.985206,116.363358,94,39864.457280092596,2212.377846830144,969.6371218855966,2009-02-20 10:58:29
32,39.985195,116.363378,94,39864.457337962995,2214.0815980381935,968.4142950528444,2009-02-20 10:58:34
33,39.985177,116.363386,94,39864.4573958333,2214.7630985248734,966.4133056846297,2009-02-20 10:58:39
34,39.985158,116.363384,94,39864.4574537037,2214.592723403204,964.3011502369212,2009-02-20 10:58:44
35,39.985144,116.363368,94,39864.4575115741,2213.229722434172,962.7448251666342,2009-02-20 10:58:49
36,39.985237,116.363364,100,39864.4575694444,2212.888972190828,973.0832702259038,2009-02-20 10:58:54
37,39.98540300000001,116.363356,105,39864.4576273148,2212.2074717084697,991.5368385520073,2009-02-20 10:58:59
38,39.985691,116.363364,107,39864.4576851852,2212.888972190828,1023.552667097388,2009-02-20 10:59:04
39,39.985969,116.363358,112,39864.4577430556,2212.377846830144,1054.4568339220384,2009-02-20 10:59:09
40,39.986332,116.363159,120,39864.4578587963,2195.4255222894653,1094.810115012625,2009-02-20 10:59:19
41,39.986648,116.36315,103,39864.4579166667,2194.6588342439763,1129.93858973834,2009-02-20 10:59:24
42,39.986875,116.363204,141,39864.457974537,2199.258962512494,1155.1732844008602,2009-02-20 10:59:29
43,39.986945,116.363196,161,39864.458032407405,2198.57746202788,1162.9549081727714,2009-02-20 10:59:34
44,39.986976,116.363215,186,39864.458090277796,2200.196025677475,1166.4010558231641,2009-02-20 10:59:39
45,39.987023,116.363229,188,39864.4581481481,2201.388651524986,1171.625860301753,2009-02-20 10:59:44
46,39.987054,116.363188,182,39864.4582060185,2197.8959615432627,1175.0720079204614,2009-02-20 10:59:49
